Smiles,Molecule ChEMBL ID,pChEMBL Value,Molecular Weight,AlogP,#RO5 Violations,Document Year,Source Description,Time_hr,Source_Type,Journal
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,CHEMBL4286799,4.698319050706424,390.48,3.83,0.0,2020,Scientific Literature,,Article,Eur J Med Chem
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cn1,CHEMBL4285331,5.503070351926785,357.88,3.77,0.0,2018,Scientific Literature,,Patent,
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1coc2cc(Br)ccc2c1=O,CHEMBL4798406,4.5307672574933875,469.38,4.59,0.0,2020,Scientific Literature,,Article,Bioorg Med Chem Lett
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1coc2ccc(Br)cc2c1=O,CHEMBL4762012,4.5828605902726745,469.38,4.59,0.0,2020,Scientific Literature,,Article,Bioorg Med Chem Lett
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1coc2ccc(OCc3ccccc3)cc2c1=O,CHEMBL4762982,6.565431095965801,496.61,5.4,1.0,2020,Scientific Literature,,Patent,
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1coc2ccccc2c1=O,CHEMBL4755016,4.452348341640031,390.48,3.83,0.0,2020,Scientific Literature,,Patent,
O=C(NCCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cc(O)ccc2o1,CHEMBL4284165,1.229999999967245,420.51,3.92,0.0,2018,Scientific Literature,,Article,Eur J Med Chem
O=C(NCCCN1CCOCC1)c1cc2cc(Br)cc(Br)c2oc1=O,CHEMBL3261200,4.976336081802207,474.15,2.77,0.0,2014,Scientific Literature,,Article,Eur J Med Chem
O=C(NCCCN1CCOCC1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,CHEMBL3261206,4.3365817877473205,361.35,1.15,0.0,2014,Scientific Literature,,Patent,
O=C(NCCCN1CCOCC1)c1cc2ccccc2oc1=O,CHEMBL1388493,4.870954940112042,316.36,1.25,0.0,2014,Scientific Literature,1.0,Article,Eur J Med Chem
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,CHEMBL86304,1.229999999967245,268.74,1.4,0.0,2016,Scientific Literature,1.0,Article,Bioorg Med Chem
O=C(NCCc1cc2ccccc2[nH]1)c1nc2ccc(O)cc2s1,CHEMBL5556560,6.853871964321762,337.4,3.46,0.0,2024,Scientific Literature,1.25,Article,Eur J Med Chem
O=C(NCCc1ccc([N+](=O)[O-])cc1)c1cccc(NS(=O)(=O)c2ccccc2)c1,CHEMBL5270254,3.5265130299354315,425.47,3.37,0.0,2021,Scientific Literature,,Article,J Med Chem
O=C(NCCc1ccccc1)c1cccc(C2CC2NCC2CC2)c1,CHEMBL6041233,1.229999999967245,334.46,3.51,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCCc1ccccc1)c1nc2ccc(O)cc2s1,CHEMBL5565042,7.3872161432802645,298.37,2.97,0.0,2024,Scientific Literature,,Patent,
O=C(NCCc1ccccn1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL6015213,1.229999999967245,335.45,2.91,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCCn1ccc(=O)c(O)c1)c1cc2ccccc2oc1=O,CHEMBL4648527,6.710857164067667,326.31,1.09,0.0,2020,Scientific Literature,,Article,J Med Chem
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1)C1CC1,CHEMBL5075183,4.518700726667144,363.39,1.51,0.0,2024,Scientific Literature,,Article,J Med Chem
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1)c1cccs1,CHEMBL5082239,4.479909671887158,405.45,2.48,0.0,2024,Scientific Literature,,Article,J Med Chem
O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nc2ccc(O)cc2s1,CHEMBL5561330,6.889410289700751,420.33,4.97,0.0,2024,Scientific Literature,,Article,J Med Chem
O=C(NCc1ccc(-c2cc(=O)[nH]cc2F)cc1)c1c(Cl)cccc1Cl,CHEMBL3667547,1.229999999967245,391.23,4.42,0.0,2019,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1)c1c(Cl)cccc1Cl,CHEMBL3667536,1.229999999967245,373.24,4.28,0.0,2019,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1)c1c(F)ccc(F)c1Cl,CHEMBL3667541,1.229999999967245,374.77,3.9,0.0,2015,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1Cl,CHEMBL3667545,1.229999999967245,356.78,3.76,0.0,2015,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1F,CHEMBL3667544,1.229999999967245,340.33,3.25,0.0,2019,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1)c1cccc(F)c1Cl,CHEMBL3667537,1.229999999967245,356.78,3.76,0.0,2019,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2cc[nH]c(=O)c2)cc1F)c1c(Cl)cccc1Cl,CHEMBL3667546,1.229999999967245,391.23,4.42,0.0,2015,BindingDB Patent Bioactivity Data,,Article,J Med Chem
O=C(NCc1ccc(-c2ccccc2)cc1)c1nc2ccc(O)cc2s1,CHEMBL5537070,5.679853713888946,360.44,4.6,0.0,2024,Scientific Literature,,Article,RSC Med Chem
O=C(NCc1ccc(-c2ccn(COP(=O)(O)O)c(=O)c2)cc1)c1c(Cl)cccc1Cl,CHEMBL3667548,1.229999999967245,483.24,3.82,0.0,2015,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem
O=C(NCc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1,CHEMBL3319255,6.411168274405792,320.18,3.8,0.0,2014,Scientific Literature,,Article,Bioorg Med Chem
